25225201
3
1 2 0.27 0
4 2 0.27 0
5 0 0.27 0
1 55 0.71 4240950 4248300
0 61 0.71 4248300 4255650
1 52 0.71 4248300 4255650
0 58 0.71 4255650 4263000
1 49 0.71 4255650 4263000
0 61 0.71 4263000 4270350
1 52 0.71 4263000 4270350
0 58 0.71 4270350 4277700
1 49 0.71 4270350 4277700
0 61 0.71 4277700 4285050
1 52 0.71 4277700 4285050
0 64 0.71 4285050 4292400
1 55 0.71 4285050 4292400
0 61 0.71 4292400 4299750
1 52 0.71 4292400 4299750
0 58 0.71 4299750 4307100
1 49 0.71 4299750 4307100
0 61 0.71 4307100 4314450
1 52 0.71 4307100 4314450
0 58 0.71 4314450 4321800
1 49 0.71 4314450 4321800
0 61 0.71 4321800 4329150
1 52 0.71 4321800 4329150
0 64 0.71 4329150 4336500
1 55 0.71 4329150 4336500
0 61 0.71 4336500 4343850
1 52 0.71 4336500 4343850
0 64 0.71 4343850 4351200
1 55 0.71 4343850 4351200
0 67 0.71 4351200 4358550
1 58 0.71 4351200 4358550
0 64 0.71 4358550 4365900
1 55 0.71 4358550 4365900
0 61 0.71 4365900 4373250
1 52 0.71 4365900 4373250
0 64 0.71 4373250 4380600
1 55 0.71 4373250 4380600
0 61 0.71 4380600 4387950
1 52 0.71 4380600 4387950
0 64 0.71 4387950 4395300
1 55 0.71 4387950 4395300
0 67 0.71 4395300 4402650
1 58 0.71 4395300 4402650
0 64 0.71 4402650 4410000
1 55 0.71 4402650 4410000
0 61 0.71 4410000 4417350
1 52 0.71 4410000 4417350
0 64 0.71 4417350 4424700
1 55 0.71 4417350 4424700
0 61 0.71 4424700 4432050
1 52 0.71 4424700 4432050
0 64 0.71 4432050 4439400
1 55 0.71 4432050 4439400
0 67 0.71 4439400 4446750
1 58 0.71 4439400 4446750
0 64 0.71 4446750 4454100
1 55 0.71 4446750 4454100
0 61 0.71 4454100 4461450
1 52 0.71 4454100 4461450
0 64 0.71 4461450 4468800
1 55 0.71 4461450 4468800
0 61 0.71 4468800 4476150
1 52 0.71 4468800 4476150
0 64 0.71 4476150 4483500
1 55 0.71 4476150 4483500
0 67 0.71 4483500 4490850
1 58 0.71 4483500 4490850
0 64 0.71 4490850 4498200
1 55 0.71 4490850 4498200
0 67 0.71 4498200 4505550
1 52 0.71 4498200 4505550
0 70 0.71 4505550 4512900
1 55 0.71 4505550 4512900
0 67 0.71 4512900 4520250
1 52 0.71 4512900 4520250
0 70 0.71 4520250 4527600
1 55 0.71 4520250 4527600
0 67 0.71 4527600 4534950
1 52 0.71 4527600 4534950
0 70 0.71 4534950 4542300
1 55 0.71 4534950 4542300
0 67 0.71 4542300 4549650
1 58 0.71 4542300 4549650
0 70 0.71 4549650 4557000
1 61 0.71 4549650 4557000
0 67 0.71 4557000 4564350
1 58 0.71 4557000 4564350
0 70 0.71 4564350 4571700
1 61 0.71 4564350 4571700
0 67 0.71 4571700 4579050
1 58 0.71 4571700 4579050
0 70 0.71 4579050 4586400
1 61 0.71 4579050 4586400
0 73 0.71 4586400 4593750
1 64 0.71 4586400 4593750
0 70 0.71 4593750 4601100
1 61 0.71 4593750 4601100
0 73 0.71 4601100 4608450
1 64 0.71 4601100 4608450
0 76 0.71 4608450 4615800
1 61 0.71 4608450 4615800
0 73 0.71 4615800 4623150
1 64 0.71 4615800 4623150
0 76 0.71 4623150 4630500
1 61 0.71 4623150 4630500
0 73 0.71 4630500 4637850
1 64 0.71 4630500 4637850
0 76 0.71 4637850 4645200
1 61 0.71 4637850 4645200
0 73 0.71 4645200 4652550
1 64 0.71 4645200 4652550
0 76 0.71 4652550 4659900
1 61 0.71 4652550 4659900
0 73 0.71 4659900 4667250
1 64 0.71 4659900 4667250
0 76 0.71 4667250 4674600
0 64 0.71 4674600 4718700
0 61 0.71 4674600 4718700
0 76 0.71 4674600 4718700
0 69 0.71 4674600 4718700
0 73 0.71 4674600 4718700
0 81 0.71 4674600 4718700
1 57 0.71 4674600 4718700
2 55 0.71 4674600 4718700
0 65 0.71 4718700 4762800
0 62 0.71 4718700 4762800
0 77 0.71 4718700 4762800
0 69 0.71 4718700 4762800
