3969001
2
4 2 0.4 0.02
5 0 0.4 0.02
1 46 0.5 2182949 2204954
1 68 0.63 2204999 2221491
0 44 0.63 2204999 2227004
0 56 0.5 2204999 2227004
1 70 0.63 2221537 2227004
1 70 0.63 2227049 2232516
0 44 0.5 2227049 2234354
0 56 0.5 2227049 2234354
1 72 0.63 2232562 2238029
0 44 0.5 2234399 2241704
0 56 0.5 2234399 2241704
1 74 0.63 2238074 2243541
0 77 0.5 2204999 2249054
0 42 0.5 2241749 2249054
0 54 0.5 2241749 2249054
1 75 0.63 2243587 2249054
0 77 0.5 2260124 2271104
0 44 0.5 2249099 2271104
0 56 0.5 2249099 2271104
1 77 0.5 2260124 2271104
0 77 0.5 2271149 2278454
1 68 0.63 2271149 2278454
0 78 0.5 2278499 2285804
1 70 0.63 2278499 2285804
0 80 0.5 2285849 2293154
0 44 0.5 2271149 2293154
0 56 0.5 2271149 2293154
1 72 0.63 2285849 2293154
1 44 0.5 2271149 2293154
1 73 0.63 2293199 2309691
0 42 0.63 2293199 2315204
0 54 0.5 2293199 2315204
1 66 0.63 2309737 2315204
1 66 0.63 2315249 2320716
0 42 0.5 2315249 2322554
0 54 0.5 2315249 2322554
1 68 0.63 2320762 2326229
0 42 0.5 2322599 2329904
0 54 0.5 2322599 2329904
1 70 0.63 2326274 2331741
0 82 0.5 2293199 2337254
0 40 0.5 2329949 2337254
0 52 0.5 2329949 2337254
1 72 0.63 2331787 2337254
1 73 0.63 2337299 2344604
0 82 0.5 2344649 2351954
0 82 0.5 2351999 2359304
0 42 0.5 2337299 2359304
0 54 0.5 2337299 2359304
1 73 0.63 2351999 2359304
0 82 0.5 2359349 2366654
1 73 0.63 2359349 2366654
0 80 0.5 2366699 2374004
1 72 0.63 2366699 2374004
0 78 0.5 2374049 2381354
0 42 0.5 2359349 2381354
0 54 0.5 2359349 2381354
1 70 0.63 2374049 2381354
1 42 0.5 2359349 2381354
0 80 0.5 2381399 2397891
1 71 0.63 2381399 2397891
0 78 0.5 2397937 2403404
0 49 0.63 2381399 2403404
0 61 0.5 2381399 2403404
1 68 0.63 2397937 2403404
0 49 0.5 2403449 2410754
0 61 0.5 2403449 2410754
1 68 0.63 2403449 2410754
0 49 0.5 2410799 2418104
0 61 0.5 2410799 2418104
1 68 0.63 2410799 2418104
0 48 0.5 2418149 2425454
0 60 0.5 2418149 2425454
1 66 0.63 2418149 2425454
1 68 0.63 2425499 2441991
0 77 0.5 2403449 2447504
0 49 0.5 2425499 2447504
0 61 0.5 2425499 2447504
1 68 0.63 2442037 2447504
1 68 0.63 2447549 2454854
1 66 0.63 2454899 2462204
0 77 0.5 2447549 2469554
0 49 0.5 2447549 2469554
0 61 0.5 2447549 2469554
1 68 0.63 2462249 2469554
1 49 0.5 2447549 2469554
0 75 0.5 2469599 2480579
1 66 0.63 2469599 2480579
0 75 0.5 2480624 2486091
1 66 0.63 2480624 2486091
0 77 0.5 2486137 2491604
0 47 0.63 2469599 2491604
0 59 0.5 2469599 2491604
1 65 0.63 2486137 2491604
0 47 0.5 2491649 2498954
0 59 0.5 2491649 2498954
1 66 0.63 2491649 2502629
0 47 0.5 2498999 2506304
0 59 0.5 2498999 2506304
1 66 0.63 2502674 2508141
0 46 0.5 2506349 2513654
0 58 0.5 2506349 2513654
1 68 0.63 2508187 2513654
0 78 0.5 2491649 2535704
0 47 0.5 2513699 2535704
0 59 0.5 2513699 2535704
1 70 0.63 2513699 2535704
0 47 0.5 2535749 2543054
0 59 0.5 2535749 2543054
0 77 0.5 2535749 2546729
1 68 0.63 2535749 2546729
0 47 0.5 2543099 2550404
0 59 0.5 2543099 2550404
0 75 0.5 2546774 2557754
0 47 0.5 2550449 2557754
0 59 0.5 2550449 2557754
1 66 0.63 2546774 2557754
1 47 0.5 2550449 2557754
0 73 0.5 2557799 2568779
1 65 0.63 2557799 2568779
0 73 0.5 2568824 2574291
1 65 0.63 2568824 2574291
0 75 0.5 2574337 2579804
0 46 0.63 2557799 2579804
0 58 0.5 2557799 2579804
1 63 0.63 2574337 2579804
0 46 0.5 2579849 2587154
0 58 0.5 2579849 2587154
1 65 0.63 2579849 2590829
0 46 0.5 2587199 2594504
